data_name,bias1,ml_name,method_name,Intercept,bias_type
compas,-0.004181163404126,MLP,mean_v1,0.595033520989132,bias one
compas,-0.004804499848385,MLP,mean_v2,0.587064379065005,bias one
compas,-0.003518554279271,MLP,similar_v1,0.586391780941185,bias one
compas,-0.004395701869903,MLP,similar_v2,0.583175913277003,bias one
compas,-0.002231423135227,MLP,multi_v1,0.576759436478587,bias one
compas,-0.004794508225171,MLP,multi_v2,0.574410227090201,bias one
adult,-0.039660614599219,KNN,mean_v1,0.719650238967327,bias one
adult,-0.009294832907435,KNN,mean_v2,0.703021300890806,bias one
adult,0.121386128894983,KNN,similar_v1,0.573640732368334,bias one
adult,0.047434576263809,KNN,similar_v2,0.633954694990164,bias one
adult,0.219743233068617,KNN,multi_v1,0.524339811517615,bias one
adult,0.215836599460796,KNN,multi_v2,0.557317687085329,bias one
adult,0.00777788180295,LinearSVC,mean_v1,0.674864153545475,bias one
adult,-0.028472207318875,LinearSVC,mean_v2,0.690881937997365,bias one
adult,0.036553236254109,LinearSVC,similar_v1,0.62803282690026,bias one
adult,0.008863760088708,LinearSVC,similar_v2,0.661252187571677,bias one
adult,0.099851326161708,LinearSVC,multi_v1,0.531652393193974,bias one
adult,0.078982299711409,LinearSVC,multi_v2,0.572655094691067,bias one
adult,0.045575759919941,SVC,mean_v1,0.570451506127872,bias one
adult,-0.011997617726724,SVC,mean_v2,0.693008880622901,bias one
adult,0.049944518261007,SVC,similar_v1,0.6051512037584,bias one
adult,0.035239175250936,SVC,similar_v2,0.636347245552385,bias one
adult,0.115596672610068,SVC,multi_v1,0.516890189654568,bias one
adult,0.1011417564526,SVC,multi_v2,0.562644914987819,bias one
adult,-0.019334151651563,Forest,mean_v1,0.639449001081877,bias one
adult,-0.005732728439636,Forest,mean_v2,0.618677361052896,bias one
adult,-0.122489046146655,Forest,similar_v1,0.794240141170096,bias one
adult,-0.072279364093833,Forest,similar_v2,0.773098466385173,bias one
adult,0.315156662399183,Forest,multi_v1,0.656469432204538,bias one
adult,0.388935975994317,Forest,multi_v2,0.642543893453132,bias one
adult,0.023435032989988,LogReg,mean_v1,0.66046432756277,bias one
adult,-0.033366268551042,LogReg,mean_v2,0.697094927064037,bias one
adult,0.043583962700275,LogReg,similar_v1,0.63327221549558,bias one
adult,0.008109685072441,LogReg,similar_v2,0.665106152646113,bias one
adult,0.126701523050355,LogReg,multi_v1,0.522863908775102,bias one
adult,0.094015182040448,LogReg,multi_v2,0.572518132882693,bias one
adult,-0.024356328729597,Tree,mean_v1,0.643637695406173,bias one
adult,-0.01804671142204,Tree,mean_v2,0.643268015973969,bias one
adult,-0.042227854322092,Tree,similar_v1,0.724674519403498,bias one
adult,-0.092788727577342,Tree,similar_v2,0.752701464409418,bias one
adult,0.407796689446278,Tree,multi_v1,0.538786325502397,bias one
adult,0.462031114595027,Tree,multi_v2,0.516306899012934,bias one
adult,-0.023085263354486,MLP,mean_v1,0.751021092539319,bias one
adult,-0.01635683332257,MLP,mean_v2,0.76440530186707,bias one
adult,0.033405979222741,MLP,similar_v1,0.661047616159952,bias one
adult,-0.002523901959707,MLP,similar_v2,0.711418149281951,bias one
adult,0.097488774491948,MLP,multi_v1,0.596361654368501,bias one
adult,0.101093899500003,MLP,multi_v2,0.600701869824142,bias one
communities,0.006209837018038,KNN,mean_v1,0.691156659997338,bias one
communities,-0.00108502632507,KNN,mean_v2,0.666395975293816,bias one
communities,0.002880513668496,KNN,similar_v1,0.701224548377144,bias one
communities,-0.003490640670166,KNN,similar_v2,0.654385267856122,bias one
communities,0.006181097383525,KNN,multi_v1,0.705385962750101,bias one
communities,-0.000157670408353,KNN,multi_v2,0.677400942949201,bias one
communities,0.001827214407797,LinearSVC,mean_v1,0.768249362039523,bias one
communities,-0.002494320843802,LinearSVC,mean_v2,0.652674097598221,bias one
communities,0.003306583305561,LinearSVC,similar_v1,0.741676632378207,bias one
communities,-0.005005553129334,LinearSVC,similar_v2,0.662556297498695,bias one
communities,0.006481443157499,LinearSVC,multi_v1,0.698042725404539,bias one
communities,0.002338994666219,LinearSVC,multi_v2,0.692637921789714,bias one
communities,-0.001267365224672,SVC,mean_v1,0.767974244610609,bias one
communities,-0.003260869178405,SVC,mean_v2,0.730662083649089,bias one
communities,0.004690174801326,SVC,similar_v1,0.736468906667476,bias one
communities,0.003011428755095,SVC,similar_v2,0.685012332805678,bias one
communities,0.008363519132234,SVC,multi_v1,0.720984802904358,bias one
communities,0.003706274935983,SVC,multi_v2,0.689885934528123,bias one
communities,0.00139662793284,Forest,mean_v1,0.748464241516181,bias one
communities,-0.009915732738673,Forest,mean_v2,0.757091992101079,bias one
communities,0.003053715307242,Forest,similar_v1,0.762326463847049,bias one
communities,-0.002881047605667,Forest,similar_v2,0.777439501224041,bias one
communities,0.006599097207823,Forest,multi_v1,0.743246596414801,bias one
communities,0.002789675442319,Forest,multi_v2,0.72041518970195,bias one
communities,0.00209896101914,LogReg,mean_v1,0.770846687699383,bias one
communities,-0.003152514042838,LogReg,mean_v2,0.659366483722584,bias one
communities,0.003369164867263,LogReg,similar_v1,0.742228407447473,bias one
communities,-0.005066031648918,LogReg,similar_v2,0.667360154838293,bias one
communities,0.006433699071128,LogReg,multi_v1,0.69802479874906,bias one
communities,0.002345133359373,LogReg,multi_v2,0.695497817222078,bias one
communities,-0.000502085168991,Tree,mean_v1,0.668238168034492,bias one
communities,-0.005419896360393,Tree,mean_v2,0.652079954179052,bias one
communities,0.006532012558676,Tree,similar_v1,0.695330996247774,bias one
communities,-0.000794028000044,Tree,similar_v2,0.673356957002955,bias one
communities,0.010241019503071,Tree,multi_v1,0.663721758253468,bias one
communities,0.009896732900701,Tree,multi_v2,0.660188163154595,bias one
communities,0.000736112488195,MLP,mean_v1,0.781295901199982,bias one
communities,-0.005925491026537,MLP,mean_v2,0.75455340417866,bias one
communities,0.004213905747847,MLP,similar_v1,0.742235245970979,bias one
communities,-0.001266339733007,MLP,similar_v2,0.691243812661519,bias one
communities,0.007688523120658,MLP,multi_v1,0.724844155697231,bias one
communities,0.002330853137379,MLP,multi_v2,0.700427911453625,bias one
titanic,0.008189452797304,KNN,mean_v1,0.592360109156144,bias two
titanic,0.007102224776152,KNN,mean_v2,0.580724957614451,bias two
titanic,0.013111133627585,KNN,similar_v1,0.590868548349297,bias two
titanic,0.004491565823467,KNN,similar_v2,0.573057959897007,bias two
titanic,0.027567106674158,KNN,multi_v1,0.55969532998398,bias two
titanic,0.021543844373581,KNN,multi_v2,0.552824205080144,bias two
titanic,0.002487966073377,LinearSVC,mean_v1,0.637094199533717,bias two
titanic,0.001464103382488,LinearSVC,mean_v2,0.592195036793196,bias two
titanic,0.001400713382731,LinearSVC,similar_v1,0.639031623796221,bias two
titanic,-0.004148430127775,LinearSVC,similar_v2,0.602610768770806,bias two
titanic,0.013902003048359,LinearSVC,multi_v1,0.598409117782781,bias two
